value_date,utr,credit_amount,narration
2026-07-31,HDFC300726165820297,43857.01,NEFT CR-RAZORPAY SETTLEMENTS HDFC300726165820297
2026-08-07,PUNB061826137674266,15495.29,NEFT CR-RAZORPAY SETTLEMENTS PUNB061826137674266
2026-07-20,HDFC190726344713493,30261.77,NEFT CR-RAZORPAY SETTLEMENTS HDFC190726344713493
2026-08-01,BARB310726187851910,9740.38,NEFT CR-RAZORPAY SETTLEMENTS BARB310726187851910
2026-08-05,PUNB020826053100330,3755.82,NEFT CR-RAZORPAY SETTLEMENTS PUNB020826053100330
2026-07-18,AXIS170726373898875,6667.55,NEFT CR-RAZORPAY SETTLEMENTS AXIS170726373898875
2026-07-31,YESB300726436459701,40796.77,NEFT CR-RAZORPAY SETTLEMENTS YESB300726436459701
2026-08-09,YESB081826989334721,19607.97,NEFT CR-RAZORPAY SETTLEMENTS YESB081826989334721
2026-07-20,UTIB180726747468971,23742.69,NEFT CR-RAZORPAY SETTLEMENTS UTIB180726747468971
2026-07-13,HDFC120726386571918,6381.21,NEFT CR-RAZORPAY SETTLEMENTS HDFC120726386571918
2026-08-05,ICIC040826745642400,15395.87,NEFT CR-RAZORPAY SETTLEMENTS ICIC040826745642400
2026-07-30,IDFB290726334843443,24068.6,NEFT CR-RAZORPAY SETTLEMENTS IDFB290726334843443
2026-07-14,HDFC130726702976706,5786.43,NEFT CR-RAZORPAY SETTLEMENTS HDFC130726702976706
2026-07-27,AXIS260726389888167,4645.49,NEFT CR-RAZORPAY SETTLEMENTS AXIS260726389888167
2026-08-03,YESB020826698169340,26271.24,NEFT CR-RAZORPAY SETTLEMENTS YESB020826698169340
2026-07-24,SBIN230726045053315,36805.53,NEFT CR-RAZORPAY SETTLEMENTS SBIN230726045053315
2026-08-08,AXIS070826574384215,17828.43,NEFT CR-RAZORPAY SETTLEMENTS AXIS070826574384215
2026-07-19,BARB180726177850792,19061.74,NEFT CR-RAZORPAY SETTLEMENTS BARB180726177850792
2026-07-20,YESB190726107622683,33749.88,NEFT CR-RAZORPAY SETTLEMENTS YESB190726107622683
2026-07-25,PUNB240726755887753,21653.79,NEFT CR-RAZORPAY SETTLEMENTS PUNB240726755887753
2026-08-09,KKBK080826004991547,34757.16,NEFT CR-RAZORPAY SETTLEMENTS KKBK080826004991547
2026-07-22,ICIC210726983273158,42554.13,NEFT CR-RAZORPAY SETTLEMENTS ICIC210726983273158
2026-08-02,UTIB010826941180053,30151.73,NEFT CR-RAZORPAY SETTLEMENTS UTIB010826941180053
2026-07-25,YESB230726136442493,33588.81,NEFT CR-RAZORPAY SETTLEMENTS YESB230726136442493
2026-07-29,HDFC280726409836655,13836.0,NEFT CR-RAZORPAY SETTLEMENTS HDFC280726409836655
2026-07-26,BARB250726887749242,14757.97,NEFT CR-RAZORPAY SETTLEMENTS BARB250726887749242
2026-08-06,BARB050826782922169,32308.12,NEFT CR-RAZORPAY SETTLEMENTS BARB050826782922169
2026-08-09,ICIC080826429396856,31281.4,NEFT CR-RAZORPAY SETTLEMENTS ICIC080826429396856
2026-07-19,IDFB180726859696915,8829.68,NEFT CR-RAZORPAY SETTLEMENTS IDFB180726859696915
2026-07-11,ICIC100726277063242,27060.84,NEFT CR-RAZORPAY SETTLEMENTS ICIC100726277063242
2026-07-18,ICIC170726074279907,5958.12,NEFT CR-RAZORPAY SETTLEMENTS ICIC170726074279907
2026-08-11,BARB090826230450189,41787.66,NEFT CR-RAZORPAY SETTLEMENTS BARB090826230450189
2026-07-16,BARB150726826657027,4131.82,NEFT CR-RAZORPAY SETTLEMENTS BARB150726826657027
2026-07-24,BARB230726656666832,38170.88,NEFT CR-RAZORPAY SETTLEMENTS BARB230726656666832
2026-08-01,KKBK310726332003791,36095.2,NEFT CR-RAZORPAY SETTLEMENTS KKBK310726332003791
2026-07-16,HDFC150726318310967,2069.77,NEFT CR-RAZORPAY SETTLEMENTS HDFC150726318310967
2026-07-27,HDFC260726002578729,6448.52,NEFT CR-RAZORPAY SETTLEMENTS HDFC260726002578729
2026-08-09,UTIB080826984902770,26751.95,NEFT CR-RAZORPAY SETTLEMENTS UTIB080826984902770
2026-08-03,HDFC020826392405147,37716.85,NEFT CR-RAZORPAY SETTLEMENTS HDFC020826392405147
2026-07-11,HDFC100726119721811,20804.74,NEFT CR-RAZORPAY SETTLEMENTS HDFC100726119721811
2026-08-01,YESB310726290965610,4950.83,NEFT CR-RAZORPAY SETTLEMENTS YESB310726290965610
2026-08-06,PUNB050826900287721,28319.85,NEFT CR-RAZORPAY SETTLEMENTS PUNB050826900287721
2026-08-06,AXIS050826435240824,26439.65,NEFT CR-RAZORPAY SETTLEMENTS AXIS050826435240824
2026-07-14,KKBK130726987283999,43035.97,NEFT CR-RAZORPAY SETTLEMENTS KKBK130726987283999
2026-08-05,BARB040826604432701,34899.62,NEFT CR-RAZORPAY SETTLEMENTS BARB040826604432701
2026-08-01,BARB310726901398373,2397.52,NEFT CR-RAZORPAY SETTLEMENTS BARB310726901398373
2026-08-10,HDFC070826050455623,19575.82,NEFT CR-RAZORPAY SETTLEMENTS HDFC070826050455623
2026-08-07,BARB060826456255770,41762.48,NEFT CR-RAZORPAY SETTLEMENTS BARB060826456255770
2026-07-14,HDFC130726919392845,26044.14,NEFT CR-RAZORPAY SETTLEMENTS HDFC130726919392845
2026-07-12,PUNB110726350583003,21179.76,NEFT CR-RAZORPAY SETTLEMENTS PUNB110726350583003
2026-07-25,ICIC240726545168087,41788.94,NEFT CR-RAZORPAY SETTLEMENTS ICIC240726545168087
2026-07-12,IDFB110726522459334,25330.37,NEFT CR-RAZORPAY SETTLEMENTS IDFB110726522459334
2026-07-18,SBIN170726967629160,37272.13,NEFT CR-RAZORPAY SETTLEMENTS SBIN170726967629160
2026-07-31,PUNB290726776945314,42426.04,NEFT CR-RAZORPAY SETTLEMENTS PUNB290726776945314
2026-07-30,KKBK290726738646317,16955.54,NEFT CR-RAZORPAY SETTLEMENTS KKBK290726738646317
2026-07-14,SBIN130726233865596,38845.73,NEFT CR-RAZORPAY SETTLEMENTS SBIN130726233865596
2026-07-15,ICIC130726117830999,19757.54,NEFT CR-RAZORPAY SETTLEMENTS ICIC130726117830999
2026-08-07,YESB060826271774490,27774.99,NEFT CR-RAZORPAY SETTLEMENTS YESB060826271774490
2026-07-13,KKBK120726950136497,9492.49,NEFT CR-RAZORPAY SETTLEMENTS KKBK120726950136497
2026-07-17,PUNB160726983640376,37276.96,NEFT CR-RAZORPAY SETTLEMENTS PUNB160726983640376
2026-07-17,SBIN160726830965207,12271.67,NEFT CR-RAZORPAY SETTLEMENTS SBIN160726830965207
2026-07-11,AXIS100726875099770,3132.32,NEFT CR-RAZORPAY SETTLEMENTS AXIS100726875099770
2026-08-10,KKBK080826654214066,41043.87,NEFT CR-RAZORPAY SETTLEMENTS KKBK080826654214066
2026-07-30,ICIC290726146786691,16350.91,NEFT CR-RAZORPAY SETTLEMENTS ICIC290726146786691
2026-08-08,PUNB070826997563410,19745.24,NEFT CR-RAZORPAY SETTLEMENTS PUNB070826997563410
2026-07-28,PUNB270726450615939,11522.16,NEFT CR-RAZORPAY SETTLEMENTS PUNB270726450615939
2026-07-25,PUNB240726390847007,34423.78,NEFT CR-RAZORPAY SETTLEMENTS PUNB240726390847007
2026-07-14,AXIS130726806984775,42230.39,NEFT CR-RAZORPAY SETTLEMENTS AXIS130726806984775
2026-08-03,HDFC020826515319520,43107.69,NEFT CR-RAZORPAY SETTLEMENTS HDFC020826515319520
2026-07-26,KKBK250726160898992,41193.37,NEFT CR-RAZORPAY SETTLEMENTS KKBK250726160898992
2026-07-18,AXIS170726433339521,8499.79,NEFT CR-RAZORPAY SETTLEMENTS AXIS170726433339521
2026-07-27,SBIN260726148628902,38235.8,NEFT CR-RAZORPAY SETTLEMENTS SBIN260726148628902
2026-07-20,HDFC190726745172339,18821.33,NEFT CR-RAZORPAY SETTLEMENTS HDFC190726745172339
2026-07-23,IDFB220726700518449,22825.45,NEFT CR-RAZORPAY SETTLEMENTS IDFB220726700518449
2026-08-06,UTIB050826137506068,19882.74,NEFT CR-RAZORPAY SETTLEMENTS UTIB050826137506068
