order_id,invoice_amount,payment_received_date,refund_amount,net_receivable
order_tul1p36p6qf5q1,13542.78,2026-08-04,0.0,13191.21
order_bmyofqewaouaxe,34545.38,2026-07-20,0.0,33832.02
order_7hv3izky22ubtx,22319.65,2026-07-13,0.0,21792.91
order_dzr1yxr2dhylur,31429.17,2026-07-28,0.0,30780.16
order_7r3ocwbfuk9e1v,35484.09,2026-07-21,0.0,34751.35
order_qkojtpv60vaiy4,34798.77,2026-08-02,0.0,34182.83
order_t7pze9vifttd96,24305.34,2026-07-18,0.0,23731.73
order_z3nx39rbsv55ps,20048.98,2026-08-05,0.0,19575.82
order_c5wi6fqjja26yf,15951.59,2026-07-27,0.0,15622.19
order_et8t63j3r30me8,18462.07,2026-07-09,0.0,18080.82
order_5x4w7kyhqin9n6,5080.2,2026-07-12,0.0,4990.28
order_qhw06xkxb94pdz,42918.62,2026-07-10,0.0,41804.45
order_muhxid4n1u3493,27860.04,2026-07-16,0.0,27366.92
order_9bh811kerpetiu,3575.62,2026-07-13,0.0,3512.34
order_y5x9l8lpqw2vmc,23654.47,2026-07-12,0.0,23166.01
order_ufm8zov7ln23y3,7574.43,2026-07-09,0.0,7377.79
order_2ejx5td44k1j6f,32766.48,2026-07-11,0.0,31915.87
order_ioxd9css9toqw9,24504.93,2026-07-09,0.0,23926.61
order_cv3tlcxlvpymb5,29282.8,2026-08-07,359.42,28318.69
order_9389yztkkfzzgn,5937.13,2026-07-17,0.0,5832.04
order_vugw6m7b5c81jh,6468.36,2026-07-17,0.0,6353.86
order_bkv4ykadejnobb,17774.01,2026-07-26,0.0,17354.54
order_vgww4fyb8dalfy,9446.41,2026-07-18,0.0,9201.18
order_ewviytwbozd1at,25623.09,2026-08-06,0.0,25169.56
order_3sdygfliji18k0,39310.11,2026-07-27,0.0,38614.32
order_qcq30o30ubmc97,24568.37,2026-08-03,0.0,23930.58
order_sk30lvylkfxhkc,41511.84,2026-07-10,0.0,40532.16
order_qxlm5q201lhlb5,3483.72,2026-08-01,0.0,3422.05
order_siwjm2c8qizk3c,852.27,2026-07-26,0.0,834.68
order_m7pyxdw2zcfzw0,22266.61,2026-07-13,0.0,21872.49
order_vzrgol0w82lk2n,1798.92,2026-07-30,0.0,1756.46
order_rk7d30mm2smdzq,26044.05,2026-07-19,0.0,25506.24
order_prt77ggkg4w58r,9951.61,2026-07-11,0.0,9693.26
order_8s63e1ocjxzefl,22337.97,2026-08-03,0.0,21810.79
order_01pddhcvsqame4,15916.37,2026-07-18,0.0,15503.18
order_e4uny181acjbc2,33414.95,2026-07-11,0.0,32724.93
order_jdu0isb5iqnf74,26687.34,2026-08-01,0.0,25994.54
