settlement_id,order_id,payment_id,gross_amount,mdr_amount,gst_on_mdr,net_amount,settlement_date,utr
setl_holqc3o18a5ur7,order_tul1p36p6qf5q1,pay_4j1ripzim6cfnf,13542.78,297.94,53.63,13191.21,2026-08-04,UTIB040826889373467
setl_mx2x18hafeyuhz,order_bmyofqewaouaxe,pay_qbnhl1n13jcat9,34545.38,604.54,108.82,33832.02,2026-07-20,NEFTICIC080726MU5907IF2
setl_71q3vli7kq1uym,order_7hv3izky22ubtx,pay_cxaprpn6qfgsxw,22319.65,446.39,80.35,21792.91,2026-07-13,IDFB130726354549480
setl_r09skdgigatj9t,order_dzr1yxr2dhylur,pay_tp0lzjjeget1gh,31429.17,550.01,99.0,30780.16,2026-07-28,IDFB280726109477752
setl_xfgcaqvkizzqy7,order_7r3ocwbfuk9e1v,pay_2isqp49kwv08hh,35484.09,620.97,111.77,34751.35,2026-07-21,ICIC210726832421024
setl_qoldforxo1bdje,order_qkojtpv60vaiy4,pay_va13u1gspk9p38,34798.77,521.98,93.96,34182.83,2026-08-02,NEFTICIC080726MU5907IF2
setl_55j2o7s3kkv9rf,order_t7pze9vifttd96,pay_qe3rzsj49itn7s,24305.34,486.11,87.5,23731.73,2026-07-18,PUNB180726867533963
setl_lz15bcw790pdw5,order_z3nx39rbsv55ps,pay_q0oxfq8myx444n,20048.98,400.98,72.18,19575.82,2026-08-05,HDFC050826050455623
setl_k9xjuy0bvr6k2v,order_c5wi6fqjja26yf,pay_pmvxpj4hnriuu9,15951.59,279.15,50.25,15622.19,2026-07-27,KKBK270726210470952
setl_v37dia5u6hc36k,order_et8t63j3r30me8,pay_f840982n2atqyy,18462.07,323.09,58.16,18080.82,2026-07-09,HDFC090726471138267
setl_h3tv3i12vj99t2,order_5x4w7kyhqin9n6,pay_xcj883dhx8bm92,5080.2,76.2,13.72,4990.28,2026-07-12,HDFC120726539502402
setl_ex5t5p5o3o0llj,order_qhw06xkxb94pdz,pay_p6lfewvznvksp2,42918.62,944.21,169.96,41804.45,2026-07-10,ICIC100726116152809
setl_fwb0hpmnz1udbf,order_muhxid4n1u3493,pay_wxa73jgzlma5uo,27860.04,417.9,75.22,27366.92,2026-07-16,IDFB160726679764381
setl_g8qynpdpoc50h2,order_9bh811kerpetiu,pay_ymo0pqclpoxko8,3575.62,53.63,9.65,3512.34,2026-07-13,NEFTSBIN0807265A0L7253J
setl_ugvs8q349dxbz9,order_y5x9l8lpqw2vmc,pay_qbnkx9dvnu80b6,23654.47,413.95,74.51,23166.01,2026-07-12,NEFTSBIN0807265A0L7253J
setl_4d145bm1enf313,order_ufm8zov7ln23y3,pay_0ysxpnngh8riec,7574.43,166.64,30.0,7377.79,2026-07-09,UTIB090726537947383
setl_x2ek3zezqacj4t,order_2ejx5td44k1j6f,pay_p8hqmabsi9nb74,32766.48,720.86,129.75,31915.87,2026-07-11,KKBK110726341036971
setl_qzw3c1qkbhb7s9,order_ioxd9css9toqw9,pay_ja2m0w10lbt3g2,24504.93,490.1,88.22,23926.61,2026-07-09,AXIS090726450541566
setl_bc2nnuvy8n1uto,order_cv3tlcxlvpymb5,pay_m9j98cwn2y8fv2,29282.8,512.45,92.24,28678.11,2026-08-07,ICIC070826027868144
setl_roouelcqse3tv1,order_9389yztkkfzzgn,pay_i92irmuq9e5coz,5937.13,89.06,16.03,5832.04,2026-07-17,NEFTICIC080726NBQH7M35I
setl_qmf5l9mo1sdieq,order_vugw6m7b5c81jh,pay_uwb6txki3oqyfo,6468.36,97.03,17.47,6353.86,2026-07-17,UTIB170726963259532
setl_nfvobbz2sf6f7l,order_bkv4ykadejnobb,pay_unknqt3wvedn9u,17774.01,355.48,63.99,17354.54,2026-07-26,YESB260726888794705
setl_mm1zxyvgiui9kk,order_vgww4fyb8dalfy,pay_o1750cehlxslg6,9446.41,207.82,37.41,9201.18,2026-07-18,IDFB180726584419866
setl_76g5g79or7875a,order_ewviytwbozd1at,pay_7o75rh8lx6dut0,25623.09,384.35,69.18,25169.56,2026-08-06,YESB060826478872874
setl_whef0votqtxhi1,order_3sdygfliji18k0,pay_axycelos6zle6k,39310.11,589.65,106.14,38614.32,2026-07-27,NEFTICIC080726NBQH7M35I
setl_yxtxmgtt0iaaky,order_qcq30o30ubmc97,pay_c7bo119xp9n56n,24568.37,540.5,97.29,23930.58,2026-08-03,AXIS030826375243106
setl_1r4kz36u8ueihx,order_sk30lvylkfxhkc,pay_856wpr97y2lofn,41511.84,830.24,149.44,40532.16,2026-07-10,PUNB100726304699013
setl_r00q0mftg698s4,order_qxlm5q201lhlb5,pay_0atvzkhiuit7m1,3483.72,52.26,9.41,3422.05,2026-08-01,HDFC010826623120387
setl_67i6yuj7yktxg4,order_siwjm2c8qizk3c,pay_9xbonrwzc4xl99,852.27,14.91,2.68,834.68,2026-07-26,SBIN260726614293968
setl_vlnknd669ugnek,order_m7pyxdw2zcfzw0,pay_ldalmjegqtoamd,22266.61,334.0,60.12,21872.49,2026-07-13,UTIB130726464715437
setl_yfkjfpnqvut75p,order_vzrgol0w82lk2n,pay_7h9g1a07h23c42,1798.92,35.98,6.48,1756.46,2026-07-30,PUNB300726911352909
setl_2wgxo05qpahkz2,order_rk7d30mm2smdzq,pay_cbzamd270stlpq,26044.05,455.77,82.04,25506.24,2026-07-19,YESB190726371478596
setl_k2u1rsujt9t11p,order_prt77ggkg4w58r,pay_hnuxorzpgu2hbi,9951.61,218.94,39.41,9693.26,2026-07-11,AXIS110726407451713
setl_qru54d8wz42o83,order_8s63e1ocjxzefl,pay_i4ofwwnc21o0z5,22337.97,446.76,80.42,21810.79,2026-08-03,KKBK030826589297500
setl_uvfmh07wph6fe0,order_01pddhcvsqame4,pay_yrid3dnkn35xyc,15916.37,350.16,63.03,15503.18,2026-07-18,SBIN180726341389994
setl_ow4ycz04cdpqvl,order_e4uny181acjbc2,pay_swsozctwjlsh3t,33414.95,584.76,105.26,32724.93,2026-07-11,HDFC110726202758842
setl_98cqk4ltahukwq,order_jdu0isb5iqnf74,pay_t60plozjcns6g2,26687.34,587.12,105.68,25994.54,2026-08-01,AXIS010826832060385
setl_d3kzvh4fz8obk3,order_swovcxek47o3lq,pay_i7e1ddqlem1qq4,7947.97,174.86,31.47,7741.64,2026-08-04,IDFB040826883171210
